tweets,author,date,likes,retweets,hashtags,linked_accounts,urls,id,tweet_type
"Die Bots sind empört. 😠
Und junge Menschen, die sich nichts mehr von der #NiewiedercsU bieten lassen wollen, ebenfalls. Zu Recht. https://t.co/1fNyl0s1Y7",DiePARTEI,2019-05-22 12:21:36,923,82,NiewiedercsU,,https://t.co/1fNyl0s1Y7,1131173260660543488,tweet
"https://t.co/KHCqm7RZJZ ""Vielleicht ist dieser satirische Wahl-O-Mat für den Einsatz im Unterricht ohnehin die bessere Alternative."" Würden wir auch mit NRW-Abi so unterschreiben.
Unsere Begründungen gibt's übrigens, wenn man am Ende auf Die PARTEI klickt #easteregg https://t.co/D1GN0qDxXa",DiePARTEI,2019-05-22 09:41:29,214,13,easteregg,,https://t.co/KHCqm7RZJZ,1131132965528973312,tweet
@MeikD @textkotze 🤷,DiePARTEI,2019-05-22 09:06:59,6,0,,"MeikD, textkotze",,1131124286306103296,tweet
"@textkotze Sieht gut aus. Und wenn man am Ende in der Übersicht auf die Parteien klickt, sieht man auch wo die Übereinstimmungen und Differenzen mit der eigenen Meinung sind. #ServicePARTEI #ep2019 https://t.co/v01k8aArpz",DiePARTEI,2019-05-22 08:47:08,71,5,"ServicePARTEI, ep2019",textkotze,,1131119287626870784,tweet
"@citykirche_sw @MartinSonneborn Das wird langweilig, wenn man es andauernd unreflektiert wiederholt. Vielleicht gelegentlich mit Ja zu Martin Sonneborn abwechseln ;)",DiePARTEI,2019-05-22 08:27:38,326,8,,"citykirche_sw, MartinSonneborn",,1131114382396674048,tweet
@Giving_Fuchs @ndaktuell @MartinSonneborn @nicosemsrott Kein Blindgänger,DiePARTEI,2019-05-22 08:01:09,16,0,,"Giving_Fuchs, ndaktuell, MartinSonneborn, nicosemsrott",,1131107716884324353,tweet
@rosenrot1800 Das T in PARTEI steht nicht umsonst für Tierschutz. Gilt natürlich auch für Massentierhaltung. Weitere Punkte in unserem https://t.co/9rV7jONKt5 oder hier: https://t.co/yQndbGlUek https://t.co/dxtg8NzgBW,DiePARTEI,2019-05-22 08:00:20,13,0,,rosenrot1800,"https://t.co/9rV7jONKt5, https://t.co/yQndbGlUek",1131107511984164864,tweet
"@feiste_geste Einfach bei der anschließenden Übersicht auf Die PARTEI klicken, da stehen alle Begründungen.",DiePARTEI,2019-05-21 18:03:52,4,0,,feiste_geste,,1130897006610788352,tweet
@SPIEGEL_Politik Bis dahin einfach https://t.co/swLI7NarK4 nutzen 😉,DiePARTEI,2019-05-21 17:14:03,184,19,,SPIEGEL_Politik,https://t.co/swLI7NarK4,1130884473065754626,tweet
💣Dabei haben sie noch nicht mal über Katzen geredet 🐱 https://t.co/rNBuuouoxK,DiePARTEI,2019-05-21 13:48:40,481,36,,,https://t.co/rNBuuouoxK,1130832786493968394,tweet
@electricalmonk @MartinSonneborn Mit Ja oder mit Nein angefangen?,DiePARTEI,2019-05-21 11:39:31,20,0,,"electricalmonk, MartinSonneborn",,1130800284211527680,tweet
https://t.co/h1ZInD0Pb9 https://t.co/wLuliWr2AI,DiePARTEI,2019-05-21 09:16:18,478,113,,,https://t.co/h1ZInD0Pb9,1130764243530321921,tweet
@KipMat @DeutschlandVolt @Die_Gruenen @Piratenpartei Ansonsten einfach den https://t.co/iHE8BSE3dW bemühen 😉,DiePARTEI,2019-05-21 07:49:26,101,5,,"KipMat, DeutschlandVolt, Die_Gruenen, Piratenpartei",https://t.co/iHE8BSE3dW,1130742380041318401,tweet
"Für alle, die jetzt noch (oder bis zum Sommer) wach sind: https://t.co/aSAwj0HVq5",DiePARTEI,2019-05-21 01:08:13,294,19,,,https://t.co/aSAwj0HVq5,1130641413077647365,tweet
Flauschkatze mit Schweinhorn https://t.co/QgCDHW9VC6,DiePARTEI,2019-05-20 16:58:50,375,12,,,,1130518254445842433,tweet
😱 Dann müssen wir das wohl auch übernehmen... Ob sich die sPD beschwert hat 🤔 https://t.co/G0DEsWPDfP,DiePARTEI,2019-05-20 15:09:34,569,45,,,https://t.co/G0DEsWPDfP,1130490757503246337,tweet
"@Flying_Tig3r Sind bereits ausverkauft 😪 
Aber digital funktioniert er auch sehr gut: https://t.co/doGVo1AxMh",DiePARTEI,2019-05-20 10:55:23,9,0,,Flying_Tig3r,https://t.co/doGVo1AxMh,1130426787081535489,tweet
"Der analoge ***-Blocker.
Auch mit Schablone für den Stimmzettel. Bloß nicht in der Wahlkabine vergessen ☝️ https://t.co/ywxaqC2cZn",DiePARTEI,2019-05-20 10:49:13,1380,122,,,https://t.co/ywxaqC2cZn,1130425236925636609,tweet
@spdde @katarinabarley Und bei euch so? https://t.co/sPWl38Yati,DiePARTEI,2019-05-19 20:16:14,137,7,,"spdde, katarinabarley",,1130205544407621632,tweet
"Das Thema mit dem Aufklebern hatten wir ja bereits. Aber wenn sich die Kollegen mal einen Spaß erlauben wollen, halten wir sie natürlich nicht davon ab https://t.co/kWKIaIfSsT",DiePARTEI,2019-05-19 17:14:56,746,40,,,,1130159919909548037,tweet
Schummelkatze https://t.co/iF9EzTeIN1,DiePARTEI,2019-05-19 17:03:18,647,22,,,,1130156992012705792,tweet
https://t.co/cQ4ZtcOYMb,DiePARTEI,2019-05-19 14:17:13,759,42,,,,1130115195995611136,tweet
@MarkusFeldhuis @gruenehessen @dieLinke @MartinSonneborn @nicosemsrott @DeutschlandVolt @seawatchcrew @janboehm Das geht schneller: https://t.co/ICVWzFXPuj 😉,DiePARTEI,2019-05-19 12:49:19,42,1,,"MarkusFeldhuis, gruenehessen, dieLinke, MartinSonneborn, nicosemsrott, DeutschlandVolt, seawatchcrew, janboehm",https://t.co/ICVWzFXPuj,1130093071964749825,tweet
https://t.co/Eq7G8bR4LE,DiePARTEI,2019-05-19 12:30:56,804,59,,,,1130088445215485953,tweet
"Unsere Top-Kandidatin (Listenplatz 3): Lisa Bombe
„Zwei Themen liegen mir besonders am Herzen: Tierschutz und Digitales. Deshalb setze ich mich für eine Cat-Content-Quote im Netz ein. Durch mein Engagement wird garantiert, dass kein Katzenfoto im Uploadfilter hängen bleibt."" https://t.co/QC3CPYcQqf",DiePARTEI,2019-05-19 12:28:44,2248,262,,,,1130087895077986305,tweet
Herzlichen Glückwunsch zum Geburtstag @dhbln 🥳 https://t.co/nTG38cpWY1,DiePARTEI,2019-05-18 17:26:33,470,21,,dhbln,,1129800454345506816,tweet
"Eines wird wieder eindrücklich bewiesen: Deutsche TV-Formate können mit ausländischen Produktionen nicht mithalten. 
Reform von Talkshows ist überfällig! #Strache https://t.co/q9ldUUKkks",DiePARTEI,2019-05-18 13:08:46,986,94,Strache,,,1129735579824992256,tweet
@Regal_Lamm Da reden wir am 27. drüber...,DiePARTEI,2019-05-18 03:03:53,12,0,,,,1129583358625951745,tweet
@HeldenWieIch Bezirk bzw. Gemeinde nach Eingabe der PLZ ausgewählt?,DiePARTEI,2019-05-17 12:50:50,0,0,,HeldenWieIch,,1129368679706189824,tweet
"#Militärbumbum
Nicht enthalten sind die Mittel für den Bau der Deutschen Atombombe (bislang nur von uns gefordert, damit wir die 1. waren, dauert aber nicht lange, bis die anderen Nachziehen) #NieMehrCDU #LOLsPD https://t.co/TY5QcPHA4F",DiePARTEI,2019-05-17 11:56:51,416,44,"Militärbumbum, NieMehrCDU, LOLsPD",,https://t.co/TY5QcPHA4F,1129355094154194944,tweet
"Werde Teil einer faulen Massenbewegung!
Werde Briefwählerin!
Hier beantragen: https://t.co/ICVWzFXPuj https://t.co/g175q7I0ZR",DiePARTEI,2019-05-17 11:00:03,585,86,,,https://t.co/ICVWzFXPuj,1129340801820106752,tweet
@mydearworld https://t.co/lLz3kzj152,DiePARTEI,2019-05-17 09:54:55,72,0,,mydearworld,,1129324409473437697,tweet
Mal ein frischer Gedanke zum Thema 🤦 https://t.co/0CfLbMIiZj https://t.co/Ljfp9Aq4m6,DiePARTEI,2019-05-17 08:49:56,271,16,,,https://t.co/0CfLbMIiZj,1129308053826875393,tweet
@FREIEWAEHLER_BV @toensberger @auricularis @Piratenpartei Steht da auch was zur Fraktionsgemeinschaft mit der fdp oder einem Juniorpartnertum unter der cSU? 🧐,DiePARTEI,2019-05-17 08:43:22,3,0,,"FREIEWAEHLER_BV, toensberger, auricularis, Piratenpartei",,1129306403800256513,tweet
Wir kommen der sPD immer näher. Genauer gesagt kommt sie uns näher 🙃 https://t.co/f0Sj6r9VrN,DiePARTEI,2019-05-16 16:23:02,1275,116,,,https://t.co/f0Sj6r9VrN,1129059691714273280,tweet
"@CDU Wir wählen mit Sicherheit #NieMehrCDU (haben wir bis jetzt auch nicht, aber der Hashtag ist beliebt 🤷) https://t.co/J0TGEozCKa",DiePARTEI,2019-05-16 12:07:42,737,41,NieMehrCDU,CDU,,1128995437908774912,tweet
@sternde Als wären die Preise nicht schon Strafe genug... https://t.co/3MOmIbUGZe,DiePARTEI,2019-05-16 07:52:58,425,36,,sternde,,1128931332057382914,tweet
Stabil. https://t.co/KQ9Xv0dFfQ,DiePARTEI,2019-05-16 07:33:47,805,45,,,https://t.co/KQ9Xv0dFfQ,1128926502479966208,tweet
@LowerClassMag @ShowkuenstlerDe Irgendwie sympathischer https://t.co/AnRU73r6kZ,DiePARTEI,2019-05-16 01:18:20,1018,33,,LowerClassMag,,1128832016651313155,tweet
@Viktor_Funk Nicht neidisch sein. Gutes journalistisches Handwerk wird nicht zwingend mit Herzchen bedacht. Wobei.. ❤️,DiePARTEI,2019-05-15 20:16:59,5,0,,Viktor_Funk,,1128756181114261505,tweet
@wahl_beobachter @katarinabarley @c_lindner @GOettingerEU @KuehniKev @lepettre Alles Nachmacher https://t.co/RYs7bK3dwN,DiePARTEI,2019-05-15 07:06:34,207,18,,"wahl_beobachter, katarinabarley, c_lindner, GOettingerEU, KuehniKev, lepettre",,1128557265559138305,tweet
Nicht von dem jüngeren @nicosemsrott  in Brüssel ärgern lassen. https://t.co/SYY9chUvdg,DiePARTEI,2019-05-15 06:53:13,1145,74,,nicosemsrott,,1128553905875501061,tweet
@Tobiwan95 Wahlkampf halt 🤷,DiePARTEI,2019-05-14 22:09:23,19,0,,Tobiwan95,,1128422077588017154,tweet
"Der Vorsprung wächst. 
Wer auf Bilder und komische Videos steht, hier entlang: https://t.co/BAwLZdBA2z https://t.co/qv95dunlM6",DiePARTEI,2019-05-14 19:55:52,2367,220,,,https://t.co/BAwLZdBA2z,1128388477903691777,tweet
"Hallo @BfV_Bund, sitzt ihr immer noch in der Merianstr. in Köln? Da hat wohl jemand Sehnsucht. https://t.co/HsvQTcQJkZ",DiePARTEI,2019-05-13 22:04:56,382,36,,BfV_Bund,https://t.co/HsvQTcQJkZ,1128058572674351110,tweet
Der ***-Blocker ist online und im Handel: https://t.co/doGVo1iWUJ https://t.co/nU6aj22pQm,DiePARTEI,2019-05-13 10:41:23,2858,751,,,https://t.co/doGVo1iWUJ,1127886550375772160,tweet
@MarkusPalcer @MartinSonneborn Hoffentlich mit Hose.,DiePARTEI,2019-05-13 07:06:32,15,0,,"MarkusPalcer, MartinSonneborn",,1127832480046821377,tweet
Die wichtigen Dinge https://t.co/Qk1gKuOfl5,DiePARTEI,2019-05-12 16:21:30,611,59,,,https://t.co/Qk1gKuOfl5,1127609758247202817,tweet
"Wäre schon ganz nett, wenn ihr dann auch wählen würdet. 
Übrigens: Briefwahl= keine Hose, kein Problem https://t.co/MitsXpoUPQ",DiePARTEI,2019-05-12 13:19:39,1836,243,,,https://t.co/MitsXpoUPQ,1127563991004348416,tweet
@anncathrin87 @wahl_beobachter @VoltEuropa @woelken @katarinabarley https://t.co/jzJv3nKvy4,DiePARTEI,2019-05-12 12:48:52,96,2,,"anncathrin87, wahl_beobachter, VoltEuropa, woelken, katarinabarley",,1127556245119033345,tweet
Mutti ist die Beste https://t.co/oAWux8oc7k,DiePARTEI,2019-05-12 08:59:41,1652,215,,,,1127498567386578944,tweet
"@EDHIMUC @DiePARTEISaar Das pdf? Wir haben es natürlich auch NICHT ausgedruckt, uns wurde allerdings zugetragen, dass es NICHT schlecht aussähe 🤷",DiePARTEI,2019-05-11 17:42:38,15,0,,"EDHIMUC, DiePARTEISaar",,1127267786223439872,tweet
"Netter Service der @DiePARTEISaar. Wobei: Besser die Datei NICHT herunterladen, NICHT ausdrucken, und schon gar NICHT mit WIEDERABLÖSBAREM SPRÜHKLEBER oder gar RÜCKSTANDSLOS ENTFERNBAREM TESAFILM auf passende Plakate kleben! Nur für den privaten Gebrauch. https://t.co/QOCzuvpEp2 https://t.co/MfuTRkgh9o",DiePARTEI,2019-05-11 16:25:45,648,124,,DiePARTEISaar,https://t.co/QOCzuvpEp2,1127248437420937216,tweet
"@robinistda @Lefty_4tw @henhman Viel Spaß dabei 👋
Und keine Geschenke (mehr) von Fremden annehmen.",DiePARTEI,2019-05-11 14:46:32,1,0,,"robinistda, Lefty_4tw, henhman",,1127223467110207488,tweet
